"app_id","app_name","size_bytes","price","rating_count_total","rating_count_current","user_rating_total","user_rating_current","content_rating","genre","support_devices","language_num"
"41","Juxtaposer","45","2.99","3610","7","4.5","5.0","Everyone","Photo & Video","37","1"
"42","Deezer - Listen to your Favorite Music & Playlists","127","0.00","4677","12","3.0","4.0","High maturity","Music","37","21"
"43","iStellar","44","3.99","30","0","3.5","0.0","Everyone","Navigation","37","2"
"44","Sonos Controller","108","0.00","48905","2691","4.5","4.5","Everyone","Music","37","12"
"45","Avertinoo","8","4.99","32","0","3.0","0.0","Everyone","Navigation","38","7"
"46","Google Earth","37","0.00","446185","1359","3.5","3.5","Everyone","Travel","43","30"
"47","iFart - The Original Fart Sounds App","60","1.99","21825","10","3.0","4.0","Low maturity","Entertainment","37","1"
"48","PAC-MAN","101","0.00","508808","99","3.0","4.5","Everyone","Games","38","10"
"49","FOX Sports Mobile","73","0.00","57500","103","3.0","4.0","Everyone","Sports","37","1"
"50","First Words Animals","32","1.99","2576","4","4.0","5.0","Everyone","Games","38","1"
"51","WeatherPro","69","1.99","1572","34","4.0","4.5","Everyone","Weather","37","13"
"52","HotSchedules","82","2.99","3292","2","3.0","5.0","Everyone","Business","37","2"
"53","Star Walk - Find Stars And Planets in Sky Above","150","4.99","8932","55","4.5","5.0","Everyone","Education","37","12"
"54","The Weather Channel: Forecast, Radar & Alerts","200","0.00","495626","5893","3.5","4.5","Everyone","Weather","37","33"
"55","Big Day - Event Countdown","13","0.99","812","14","3.0","4.0","Everyone","Lifestyle","38","7"
"56","12 Steps AA Companion - Alcoholics Anonymous","30","2.99","1583","2","3.5","4.5","High maturity","Lifestyle","37","1"
"57","OpenTable - Restaurant Reservations","93","0.00","113936","150","4.5","5.0","Everyone","Food & Drink","37","6"
"58","VLC Remote","32","4.99","2027","2","4.0","5.0","Everyone","Entertainment","37","33"
"59","gFlashPro - Flashcards & Tests","26","3.99","768","4","4.0","4.0","Everyone","Education","37","3"
"60","Lose It! â€“ Weight Loss Program and Calorie Counter","182","0.00","373835","402","4.0","4.5","Everyone","Health & Fitness","37","1"
"61","Target","139","0.00","108131","13","3.0","2.0","Everyone","Shopping","37","1"
"62","Fish Tycoon","14","0.99","18943","1787","3.5","4.5","Everyone","Games","47","1"
"63","Amazon App: shop, scan, compare, and read reviews","134","0.00","126312","22","3.5","3.0","Everyone","Shopping","37","8"
"64","Touchgrind","55","4.99","35735","378","4.0","4.5","Everyone","Games","40","0"
"65","ProPresenter Remote","47","4.99","410","7","3.0","2.5","Everyone","Utilities","37","1"
"66","iReal Pro - Music Book & Play Along","63","12.99","1390","143","4.5","5.0","Everyone","Music","37","33"
"67","NRJ Radio","53","0.00","38","2","3.5","5.0","Everyone","Music","37","4"
"68","Chase Mobileâ„ ","40","0.00","233270","14625","4.5","4.5","Everyone","Finance","37","2"
"69","å¤§è¾žæž—","210","21.99","64","0","4.5","0.0","Everyone","Reference","37","2"
"70","Allrecipes Dinner Spinner","36","0.00","109349","1540","3.5","5.0","High maturity","Food & Drink","37","1"
"71","æ–°æµªæ–°é—»-é˜…è¯»æœ€æ–°æ—¶äº‹çƒ­é—¨å¤´æ¡èµ„è®¯è§†é¢‘","115","0.00","2229","4","3.5","1.0","High maturity","News","37","1"
"72","MotionX GPS","56","1.99","14970","24","3.5","4.5","Everyone","Navigation","37","1"
"73","AccuWeather - Weather for Life","182","0.00","144214","2162","3.5","4.0","Everyone","Weather","37","43"
"74","Mint: Personal Finance, Budget, Bills & Money","163","0.00","232940","683","4.0","4.5","Everyone","Finance","37","1"
"75","ABC News - US & World News + Live Video","98","0.00","48407","20","3.0","3.5","High maturity","News","37","1"
"76","Rowmote: Remote Control for Mac","54","0.99","5531","37","3.5","2.5","Everyone","Utilities","40","13"
"77","Peekaboo Barn","50","1.99","3393","77","4.0","4.0","Everyone","Education","43","1"
"78","Speedtest by Ookla","24","0.00","65016","274","3.5","5.0","Everyone","Utilities","38","17"
"79","Pocket God","145","0.99","187529","1071","4.0","4.0","Low maturity","Entertainment","43","1"
"80","Nike+ Training Club - Workouts & Fitness Plans","140","0.00","33969","466","3.5","5.0","Everyone","Health & Fitness","37","17"
"81","Citi MobileÂ®","281","0.00","48822","193","3.5","4.0","Everyone","Finance","37","1"
"82","Phase 10 Pro - Play Your Friends!","67","1.99","59155","101","4.5","2.5","Everyone","Games","40","1"
"83","Kindle â€“ Read eBooks, Magazines & Textbooks","170","0.00","252076","80","3.5","4.5","Everyone","Book","37","9"
"84","MASH","42","1.99","4913","1","4.0","4.0","Low maturity","Games","37","15"
"85","åŒèŠ±é¡º-ç‚’è‚¡ã€è‚¡ç¥¨","123","0.00","1744","0","3.5","0.0","Everyone","Finance","37","1"
"86","Wedding Dash Deluxe","56","0.99","16567","1155","4.5","4.5","Everyone","Games","43","1"
"87","Beer Pong Game","189","0.00","187315","9","2.0","4.0","High maturity","Games","37","9"
"88","Tempo - Metronome with Setlists","22","2.99","4781","1","4.5","5.0","Everyone","Music","37","10"
"89","Skat","66","3.99","94","4","4.5","4.5","Everyone","Games","37","1"
"90","Color Splash","28","0.99","29554","55","4.0","5.0","Everyone","Photo & Video","37","3"
"91","Zombieville USA","28","0.99","32988","2489","4.0","4.0","High maturity","Games","47","1"
"92","Skype for iPhone","133","0.00","373519","127","3.5","4.0","Everyone","Social Networking","37","32"
"93","Tumblr","152","0.00","334293","919","4.0","4.0","High maturity","Social Networking","37","16"
"94","iSwap Faces","27","1.99","2302","3","3.5","5.0","Everyone","Photo & Video","37","1"
"95","Matchâ„¢ - #1 Dating App.","101","0.00","60659","57","3.0","2.5","High maturity","Social Networking","37","10"
"96","Tozzle - Toddler's favorite puzzle","168","2.99","2562","10","4.0","4.5","Everyone","Games","37","4"
"97","HomeBudget with Sync","17","4.99","3042","6","3.5","4.0","Everyone","Finance","37","11"
"98","Wind Meter","5","0.99","338","12","2.5","2.0","Everyone","Weather","43","1"
"99","Map My Run+ - GPS Running & Workout Tracker","238","2.99","16434","3","4.5","4.5","Everyone","Health & Fitness","37","9"
"100","Map My Ride+ - GPS Cycling & Route Tracker","234","2.99","10046","7","4.5","5.0","Everyone","Health & Fitness","37","9"
"101","HuffPost - News, Politics & Entertainment","110","0.00","29107","85","3.0","4.0","High maturity","News","37","10"
"102","Phrase Party!","48","1.99","878","48","4.0","4.5","High maturity","Games","38","1"
"103","Minesweeper Classic","22","0.99","1140","20","3.5","3.5","Everyone","Games","37","1"
"104","Sally's Spa","432","2.99","35074","403","4.5","4.0","Everyone","Games","43","6"
"105","CBS Sports App - Sports Scores, News, Stats, Watch","120","0.00","59639","11","3.0","2.5","High maturity","Sports","37","1"
"106","Brain Wave â„¢ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience","91","4.99","2913","357","4.0","5.0","Everyone","Health & Fitness","43","1"
"107","iSwap Faces LITE","31","0.00","39722","0","3.0","0.0","Everyone","Photo & Video","37","1"
"108","DIRECTV","151","0.00","81006","25","3.5","3.0","Everyone","Entertainment","37","1"
"109","NYTimes Crossword - Daily Word Puzzle Game","47","0.00","53465","204","3.5","4.0","Everyone","Games","37","1"
"110","Doodle Jump","49","0.99","395261","88","4.5","4.5","Everyone","Games","37","1"
"111","LEDit â€“ The LED Banner App","17","1.99","2021","147","4.5","4.5","Everyone","Utilities","37","12"
"112","niconico","26","0.00","182","0","3.0","0.0","High maturity","Entertainment","37","3"
"113","Fandango Movies - Times + Tickets","82","0.00","291787","589","4.0","5.0","Everyone","Entertainment","37","1"
"114","iCab Mobile (Web Browser)","19","1.99","2441","4","4.0","5.0","High maturity","Utilities","38","12"
"115","iRagdoll - Ragdoll Physics","119","0.99","1372","25","4.0","4.0","High maturity","Games","37","1"
"116","Proloquo2Go - Symbol-based AAC","724","249.99","773","10","4.0","3.5","Everyone","Education","37","3"
"117","Dictionary.com Dictionary & Thesaurus","111","0.00","200047","177","4.0","4.0","Everyone","Reference","37","1"
"118","20 Minutes.fr - l'actualitÃ© en continu","110","0.00","112","0","3.5","0.0","High maturity","News","37","17"
"119","The Masters Tournament","121","0.00","148160","63","4.5","3.5","Everyone","Sports","37","1"
"120","myAT&T","68","0.00","108507","628","3.0","3.0","Everyone","Utilities","37","2"
"121","SFR TV","122","0.00","46","0","3.0","0.0","Everyone","Entertainment","37","1"
"122","Shutterfly: Prints, Photo Books, Cards Made Easy","122","0.00","51427","874","4.0","5.0","Everyone","Photo & Video","37","1"
"123","StickWars","17","0.99","53821","165","3.5","4.0","High maturity","Games","43","1"
"124","Indeed Job Search","4","0.00","38681","563","4.0","4.5","Everyone","Business","37","28"
"125","World Cup Table Tennisâ„¢","31","0.99","17776","6","4.0","5.0","Everyone","Games","37","11"
"126","WhatsApp Messenger","135","0.00","287589","73088","4.5","4.5","Everyone","Social Networking","12","35"
